,Unnamed: 0,level_0,index,name,brand,categories,price_max,price_min,ingredients,ingredients_list
0,0,17,1351,0,0,"['Pastries & Bakery', 'Cooking & Baking', 'Muffins', 'Grocery & Gourmet Food', 'Baking Mixes', 'Pantry Staples', 'Breads & Bakery']",56.07,8.98,"['wheat flour', 'sugar', 'animal shortening lard', 'hydrogenated lard', 'tocopherols preservative', 'bht preservative', 'dextrose', 'contains less than of each of the following salt', 'baking soda', 'palm oil', 'sodium aluminum phosphate', 'monocalcium phosphate', 'maltodextrin', 'food starchmodified', 'fructose', 'red lake', 'citric acid preservative', 'and flavor', 'medium chain triglycerides', 'blue lake', 'wheat starch', 'niacin', 'tricalcium phosphate', 'reduced iron', 'thiamine mononitrate', 'ascorbic acid preservative', 'riboflavin', 'folic acid', 'silicon dioxide.']","['wheatflour', 'sugar', 'animalshorteninglard', 'hydrogenatedlard', 'tocopherolspreservative', 'bhtpreservative', 'dextrose', 'containslessthanofeachofthefollowingsalt', 'bakingsoda', 'palm oil', 'sodiumaluminumphosphate', 'monocalciumphosphate', 'maltodextrin', 'foodstarchmodified', 'fructose', 'redlake', 'citricacidpreservative', 'andflavor', 'mediumchaintriglycerides', 'bluelake', 'wheatstarch', 'niacin', 'tricalciumphosphate', 'reducediron', 'thiaminemononitrate', 'ascorbicacidpreservative', 'riboflavin', 'folicacid', 'silicondioxide']"
1,1,21,868,1,1,"['Biscotti', 'Grocery & Gourmet Food', 'Cookies', 'Breads & Bakery']",34.5,34.5,"['wheat flour', 'palm fruit oil', 'sugar', 'cocoa', 'cream powder', 'fructose', 'salt', 'cornstarch', 'yeast', 'inactive yeast', 'maltodextrin', 'wheat starch', 'flavors', 'canola oil', 'dextrose', 'guar gum', 'xanthan gum.']","['wheatflour', 'palm oil', 'sugar', 'cocoa', 'creampowder', 'fructose', 'salt', 'cornstarch', 'yeast', 'inactiveyeast', 'maltodextrin', 'wheatstarch', 'flavors', 'canolaoil', 'dextrose', 'guargum', 'xanthangum']"
2,2,22,2935,2,2,"['Bakery & Bread', 'Grocery & Gourmet Food', 'Snack Cakes', 'Snack Cakes & Pastries', 'Snack Foods', 'Breakfast Bakery & Pastries', 'Fresh Food', 'Food']",39.99,2.97,"['sugar', 'water bleached enriched wheat flour wheat flour', 'niacin', 'ferrous sulfate', 'thiamin mononitrate', 'riboflavin', 'folic acid', 'hydrogenated palm kernel oil high fructose corn syrup', 'animal and vegetable shortening tallow', 'hydrogenated tallow', 'cottonseed oil', 'mono and diglycerides', 'polysorbate', 'soy lecithin', 'dextrose', 'cocoa', 'contains or less eggs', 'sucrose', 'soy lecithin', 'whey', 'modified corn starch', 'glycerin', 'salt', 'sodium acid pyrophosphate', 'and flavor', 'salt', 'distilled monoglycerides', 'baking soda sorbic acid', 'natamycin and potassium sorbate', 'sodium stearoyl lactylate', 'cellulose gum. xanthan gum', 'monocalcium phosphate', 'enzymes', 'yellow', 'red .']","['sugar', 'waterbleachedenrichedwheatflourwheatflour', 'niacin', 'ferroussulfate', 'thiaminmononitrate', 'riboflavin', 'folicacid', 'palm oil', 'animalandvegetableshorteningtallow', 'hydrogenatedtallow', 'cottonseedoil', 'monoanddiglycerides', 'polysorbate', 'soylecithin', 'dextrose', 'cocoa', 'containsorlesseggs', 'sucrose', 'soylecithin', 'whey', 'modifiedcornstarch', 'glycerin', 'salt', 'sodiumacidpyrophosphate', 'andflavor', 'salt', 'distilledmonoglycerides', 'bakingsodasorbicacid', 'natamycinandpotassiumsorbate', 'sodiumstearoyllactylate', 'cellulosegumxanthangum', 'monocalciumphosphate', 'enzymes', 'yellow', 'red']"
3,3,28,7280,3,3,"['Baking Doughs', 'Grocery', 'Easter', 'Christmas', 'Butter & Margarine', 'Food & Beverage Ways To Shop', 'Frozen Bread & Dough', 'Breads & Bakery', 'Dinner Rolls', 'Thanksgiving Meal', 'Dairy', ' Eggs & Cheese', 'Featured Brands', 'Grocery & Gourmet Food', 'Food & Beverage', 'Refrigerated Doughs', 'Frozen Foods', 'Dairy', 'Packaged Foods', 'Holiday Shop', 'Baking', 'Fresh Food', 'General Mills', 'Food']",2.5,2.07,"['enriched flour bleached wheat flour', 'niacin', 'ferrous sulfate', 'thiamin mononitrate', 'riboflavin', 'folic acid', 'water', 'sodium bicarbonate', 'vegetable shortening soybean and palm oil', 'hydrogenated palm oil', 'water', 'mono and diglycerides', 'tbhq and citric acid preservatives', 'beta carotene for', 'sodium aluminum phosphate', 'riboflavin', 'palm oil', 'vital wheat gluten', 'sodium aluminium phosphate. contains less of vital wheat gluten', 'folic acid', 'partially hydrogenated soybean oil', 'baking powder baking soda', 'vitamin e', 'tbhq and citric acid preservatices', 'citric acid', 'water', 'thiamin mononitrate', 'vegetable shortening soybean and palm oil', 'folic acid', 'xanthan gum', 'fdc red', 'dextrose', 'enriched flour bleached wheat flour', 'alpha tocopherol', 'flavor', 'xanthan gum', 'niacin', 'potassium chloride', 'enriched flour bleached wheat flour', 'niacin', 'ferrous sulfate', 'thiamin mononitrate', 'riboflavin', 'folic acid', 'water', 'soybean and palm oil', 'sugar', 'hydrogenated palm oil', 'baking powder baking soda', 'sodium acid pyrophosphate', 'sodium aluminum phosphate. fractionated palm oil', 'mono and diglycerides', 'vital wheat gluten', 'dextrose', 'salt', 'potassium chloride', 'xanthan gum', 'flavor', 'preservatives tbhq', 'alpha tocopherol', 'citric acid', 'yellow', 'added', 'red .', 'niacin', 'water', 'baking powder', 'dextrose', 'sugar', 'annatto extract', 'bleached enriched flour', 'monoglycerides', 'diglycerides', 'baking powder baking soda', 'sodium acid pyrophosphate', 'sodium aluminum phosphate. contains or less of vital wheat gluten', 'monoglycerides', 'soybean oil', 'sugar', 'dextrose', 'fdc yellow', 'beta carotene for', 'soybean oil', 'mono and diglycerides', 'hydrogenated palm oil', 'wheat flour', 'alpha tocopherol', 'sodium acid pyrophosphate', 'sugar', 'riboflavin', 'annatto extract .', 'potassium chloride', 'monoglycerides', 'sodium chloride', 'preservatives', 'flavor', 'soybean oil', 'disodium pyrophosphate', 'salt', 'ferrous sulfate', 'tertbutylhydroquinone', 'ferrous sulfate', 'thiamin mononitrate', 'hydrogenated palm oil']","['enrichedflourbleachedwheatflour', 'niacin', 'ferroussulfate', 'thiaminmononitrate', 'riboflavin', 'folicacid', 'water', 'sodiumbicarbonate', 'palm oil', 'palm oil', 'water', 'monoanddiglycerides', 'tbhqandcitricacidpreservatives', 'betacarotenefor', 'sodiumaluminumphosphate', 'riboflavin', 'palm oil', 'vitalwheatgluten', 'sodiumaluminiumphosphatecontainslessofvitalwheatgluten', 'folicacid', 'partiallyhydrogenatedsoybeanoil', 'bakingpowderbakingsoda', 'vitamine', 'tbhqandcitricacidpreservatices', 'citricacid', 'water', 'thiaminmononitrate', 'palm oil', 'folicacid', 'xanthangum', 'fdcred', 'dextrose', 'enrichedflourbleachedwheatflour', 'alphatocopherol', 'flavor', 'xanthangum', 'niacin', 'potassiumchloride', 'enrichedflourbleachedwheatflour', 'niacin', 'ferroussulfate', 'thiaminmononitrate', 'riboflavin', 'folicacid', 'water', 'palm oil', 'sugar', 'palm oil', 'bakingpowderbakingsoda', 'sodiumacidpyrophosphate', 'palm oil', 'monoanddiglycerides', 'vitalwheatgluten', 'dextrose', 'salt', 'potassiumchloride', 'xanthangum', 'flavor', 'preservativestbhq', 'alphatocopherol', 'citricacid', 'yellow', 'added', 'red', 'niacin', 'water', 'bakingpowder', 'dextrose', 'sugar', 'annattoextract', 'bleachedenrichedflour', 'monoglycerides', 'diglycerides', 'bakingpowderbakingsoda', 'sodiumacidpyrophosphate', 'sodiumaluminumphosphatecontainsorlessofvitalwheatgluten', 'monoglycerides', 'soybeanoil', 'sugar', 'dextrose', 'fdcyellow', 'betacarotenefor', 'soybeanoil', 'monoanddiglycerides', 'palm oil', 'wheatflour', 'alphatocopherol', 'sodiumacidpyrophosphate', 'sugar', 'riboflavin', 'annattoextract', 'potassiumchloride', 'monoglycerides', 'sodiumchloride', 'preservatives', 'flavor', 'soybeanoil', 'disodiumpyrophosphate', 'salt', 'ferroussulfate', 'tertbutylhydroquinone', 'ferroussulfate', 'thiaminmononitrate', 'palm oil']"
4,4,46,55,4,4,"['Grocery & Gourmet Food', 'Hard Candy', 'Candy & Chocolate', 'Hard Candy & Lollipops']",27.2,9.99,"['sugar', 'corn syrup', 'partially hydrogenated palm oil', 'partially hydrogenated rapeseed oil', 'butter fat', 'flavors', 'coffee extract', 'caramel', 'salt.']","['sugar', 'cornsyrup', 'palm oil', 'partiallyhydrogenatedrapeseedoil', 'butterfat', 'flavors', 'coffeeextract', 'caramel', 'salt']"
5,5,59,1731,5,5,"['Grocery & Gourmet Food', 'Breads & Bakery', 'Flatbreads', 'Breads']",6.75,6.75,"['flour', 'water', 'soy palm oil', 'aluminumfree baking powder', 'sea salt. .']","['flour', 'water', 'palm oil', 'aluminumfreebakingpowder', 'seasalt']"
6,6,60,10484,6,6,"['Breakfast Foods', 'Grocery & Gourmet Food', 'Cookies', 'Breakfast & Cereal Bars', 'Breads & Bakery']",9.2,9.19,"['gluten free rolled oats', 'brown rice syrup', 'brown rice', 'filtered water', 'earth balance oil blend palm fruit', 'canola and olive oils', 'filtered water', 'pure salt', 'flavor derived from corn', 'no msg', 'no alcohol', 'no gluten', 'sunflower lecithin', 'lactic acid nondairy', 'derived from sugar beets and colored with annatto extract', 'sucanat', 'dried apples', 'apple pie', 'xanthan gum. contains peanuts.', 'glutenfree rolled oats', 'brown rice syrup brown rice', 'filtered water', 'earth balance oil blend palm fruit', 'canola and olive oils', 'filtered water', 'pure salt', 'vegan', 'sunflower lecithin', 'lactic acid from sugar beets', 'annatto extract', 'sucanat', 'dried apples', 'vegan apple pie', 'xanthan gum.']","['glutenfreerolledoats', 'brownricesyrup', 'brownrice', 'filteredwater', 'palm oil', 'canolaandoliveoils', 'filteredwater', 'puresalt', 'flavorderivedfromcorn', 'nomsg', 'noalcohol', 'nogluten', 'sunflowerlecithin', 'lacticacidnondairy', 'derivedfromsugarbeetsandcoloredwithannattoextract', 'sucanat', 'driedapples', 'applepie', 'xanthangumcontainspeanuts', 'glutenfreerolledoats', 'brownricesyrupbrownrice', 'filteredwater', 'palm oil', 'canolaandoliveoils', 'filteredwater', 'puresalt', 'vegan', 'sunflowerlecithin', 'lacticacidfromsugarbeets', 'annattoextract', 'sucanat', 'driedapples', 'veganapplepie', 'xanthangum']"
7,7,77,1472,7,7,"['Sandwich', 'Grocery & Gourmet Food', 'Cookies', 'Breads & Bakery', 'Desserts', 'Snacks', ' Cookies & Chips', 'Food']",24.63,2.69,"['high fructose corn syrup', 'thiamine mononitrate', 'reduced iron', 'sodium sulfite', 'riboflavin', 'folic acid', 'enriched flour wheat flour', 'niacin', 'cocoa', 'potassium sorbate to retain freshness.', 'salt', 'corn syrup', 'defatted soy flour', 'gelatin', 'artificial', 'palm and palm kernel oil', 'cocoa processed with alkali', 'baking soda', 'soy lecithin', 'soybean oil', 'sugar']","['highfructosecornsyrup', 'thiaminemononitrate', 'reducediron', 'sodiumsulfite', 'riboflavin', 'folicacid', 'enrichedflourwheatflour', 'niacin', 'cocoa', 'potassiumsorbatetoretainfreshness', 'salt', 'cornsyrup', 'defattedsoyflour', 'gelatin', 'artificial', 'palm oil', 'cocoaprocessedwithalkali', 'bakingsoda', 'soylecithin', 'soybeanoil', 'sugar']"
8,8,82,761,8,8,"['Grocery & Gourmet Food', 'Cookies', 'Chocolate Chip', 'grocery', 'Breads & Bakery']",19.47,2.5,"['unbleached enriched flour wheat flour', 'niacin', 'reduced iron', 'thiamine mononitrate vitamin b', 'riboflavin vitamin b', 'folic acid', 'semisweet chocolate chunks sugar', 'chocolate', 'dextrose', 'cocoa butter', 'milk', 'soy lecithin', 'sugar', 'canola oil', 'semisweet chocolate chips sugar', 'chocolate', 'cocoa butter', 'dextrose', 'milk', 'soy lecithin', 'palm oil', 'leavening baking soda', 'ammonium phosphate', 'molasses', 'high fructose corn syrup', 'whey', 'salt', 'soy lecithin', 'caramel', 'flavor.', 'unbleached enriched flour wheat flour', 'niacin', 'reduced iron', 'thiamine mononitrate vitamin b', 'riboflavin vitamin b', 'folic acid', 'semisweet chocolate chunks sugar', 'chocolate', 'dextrose', 'cocoa butter', 'milk', 'soy lecithin', 'sugar', 'soybean oil', 'semisweet chocolate chips sugar', 'chocolate', 'cocoa butter', 'dextrose', 'milk', 'soy lecithin', 'partially hydrogenated cottonseed oil', 'leavening baking soda', 'ammonium phosphate', 'salt', 'molasses', 'high fructose corn syrup', 'whey', 'soy lecithin', 'caramel', 'flavor.']","['unbleachedenrichedflourwheatflour', 'niacin', 'reducediron', 'thiaminemononitratevitaminb', 'riboflavinvitaminb', 'folicacid', 'semisweetchocolatechunkssugar', 'chocolate', 'dextrose', 'cocoabutter', 'milk', 'soylecithin', 'sugar', 'canolaoil', 'semisweetchocolatechipssugar', 'chocolate', 'cocoabutter', 'dextrose', 'milk', 'soylecithin', 'palm oil', 'leaveningbakingsoda', 'ammoniumphosphate', 'molasses', 'highfructosecornsyrup', 'whey', 'salt', 'soylecithin', 'caramel', 'flavor', 'unbleachedenrichedflourwheatflour', 'niacin', 'reducediron', 'thiaminemononitratevitaminb', 'riboflavinvitaminb', 'folicacid', 'semisweetchocolatechunkssugar', 'chocolate', 'dextrose', 'cocoabutter', 'milk', 'soylecithin', 'sugar', 'soybeanoil', 'semisweetchocolatechipssugar', 'chocolate', 'cocoabutter', 'dextrose', 'milk', 'soylecithin', 'partiallyhydrogenatedcottonseedoil', 'leaveningbakingsoda', 'ammoniumphosphate', 'salt', 'molasses', 'highfructosecornsyrup', 'whey', 'soylecithin', 'caramel', 'flavor']"
9,9,88,1220,9,9,"['Grocery & Gourmet Food', 'Cookies', 'Chocolate', 'Breads & Bakery']",21.54,18.3,"['flour blend brown rice flour', 'white rice flour', 'tapioca starch', 'sweet rice flour', 'xanthan gum', 'evaporated cane sugar', 'nonhydrogenated palm oil', 'chocolate chunks evaporated cane sugar', 'cocoa paste', 'cocoa butter', 'nongmo soy lecithinemulsifier', 'glutenfree vanilla. chunks may contain traces of milk protein due to manufacturing equipment.', 'eggs', 'glutenfree', 'sea salt', 'baking soda', 'ammonium bicarbonate.']","['flourblendbrownriceflour', 'whitericeflour', 'tapiocastarch', 'sweetriceflour', 'xanthangum', 'evaporatedcanesugar', 'palm oil', 'chocolatechunksevaporatedcanesugar', 'cocoapaste', 'cocoabutter', 'nongmosoylecithinemulsifier', 'glutenfreevanillachunksmaycontaintracesofmilkproteinduetomanufacturingequipment', 'eggs', 'glutenfree', 'seasalt', 'bakingsoda', 'ammoniumbicarbonate']"
